03:58:10.926 INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port 8081 (http)
03:58:10.932 INFO  [org.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8081"]
03:58:10.933 INFO  [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
03:58:10.933 INFO  [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.16]
03:58:10.973 INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
03:58:10.974 INFO  [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 991 ms
03:58:11.090 INFO  [org.hibernate.jpa.internal.util.LogHelper] - HHH000204: Processing PersistenceUnitInfo [name: default]
03:58:11.132 INFO  [org.hibernate.Version] - HHH000412: Hibernate ORM core version 6.3.1.Final
03:58:11.157 INFO  [org.hibernate.cache.internal.RegionFactoryInitiator] - HHH000026: Second-level cache disabled
03:58:11.333 INFO  [org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo] - No LoadTimeWeaver setup: ignoring JPA class transformer
03:58:11.353 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
03:58:11.474 INFO  [com.zaxxer.hikari.pool.HikariPool] - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@7fd156be
03:58:11.475 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
03:58:11.500 WARN  [org.hibernate.orm.deprecation] - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
03:58:12.200 INFO  [org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
03:58:12.310 INFO  [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean] - Initialized JPA EntityManagerFactory for persistence unit 'default'
03:58:12.563 INFO  [org.springframework.data.jpa.repository.query.QueryEnhancerFactory] - Hibernate is in classpath; If applicable, HQL parser will be used.
03:58:13.171 WARN  [org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
03:58:13.245 INFO  [org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping] - Adding welcome page template: index
03:58:13.367 INFO  [org.springframework.security.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5dcc56dc, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6b315262, org.springframework.security.web.context.SecurityContextHolderFilter@59071218, org.springframework.security.web.header.HeaderWriterFilter@72bd1650, org.springframework.web.filter.CorsFilter@4f182e31, org.springframework.security.web.csrf.CsrfFilter@7d5684bf, org.springframework.security.web.authentication.logout.LogoutFilter@5066c7b4, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5daf3449, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3937d296, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@24d9ab33, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@72800a5e, org.springframework.security.web.access.ExceptionTranslationFilter@13369720, org.springframework.security.web.access.intercept.AuthorizationFilter@7829cc53]
03:58:13.528 INFO  [org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer] - LiveReload server is running on port 35729
03:58:13.540 INFO  [org.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8081"]
03:58:13.553 INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat started on port 8081 (http) with context path ''
03:58:13.558 INFO  [com.animeshop.AnimeShopApplication] - Started AnimeShopApplication in 3.934 seconds (process running for 4.442)
04:00:37.532 INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
04:00:37.533 INFO  [org.springframework.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
04:00:37.533 INFO  [org.springframework.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
04:00:37.544 WARN  [org.springframework.web.servlet.handler.HandlerMappingIntrospector] - Cache miss for REQUEST dispatch to '/login' (previous null). Performing CorsConfiguration lookup. This is logged once only at WARN level, and every time at TRACE.
04:06:36.990 INFO  [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean] - Closing JPA EntityManagerFactory for persistence unit 'default'
04:06:36.992 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
04:06:36.995 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
